objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
fmt000011,Moon path diagrams,,1991-02-19,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000011_1991-02-19_arup_andy_mcdowell_moon_path_diagrams.pdf,objects/small/fmt000011_1991-02-19_arup_andy_mcdowell_moon_path_diagrams_sm.jpg,objects/thumbs/fmt000011_1991-02-19_arup_andy_mcdowell_moon_path_diagrams_th.jpg,,
fmt000012,First 3D theatre sketches,,1991-03-04,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000012_1991-03-04_arup_andy_sedgwick_first_3d_theatre_sketches.pdf,objects/small/fmt000012_1991-03-04_arup_andy_sedgwick_first_3d_theatre_sketches_sm.jpg,objects/thumbs/fmt000012_1991-03-04_arup_andy_sedgwick_first_3d_theatre_sketches_th.jpg,,
fmt000013,Student questions on perception levels,,1991-04-19,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000013_1991-04-19_arup_andy_sedgwick_student_questions_perception_levels.pdf,objects/small/fmt000013_1991-04-19_arup_andy_sedgwick_student_questions_perception_levels_sm.jpg,objects/thumbs/fmt000013_1991-04-19_arup_andy_sedgwick_student_questions_perception_levels_th.jpg,,
fmt000014,Trip organization,,1991-04-23,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000014_1991-04-23_arup_alexandre_cot_trip_organization.pdf,objects/small/fmt000014_1991-04-23_arup_alexandre_cot_trip_organization_sm.jpg,objects/thumbs/fmt000014_1991-04-23_arup_alexandre_cot_trip_organization_th.jpg,,
fmt000015,Mirror design,,1991-04-24,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000015_1991-04-24_arup_andy_sedgwick_mirror_design.pdf,objects/small/fmt000015_1991-04-24_arup_andy_sedgwick_mirror_design_sm.jpg,objects/thumbs/fmt000015_1991-04-24_arup_andy_sedgwick_mirror_design_th.jpg,,
fmt000016,Timber quantities,,1991-04-24,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000016_1991-04-24_arup_andy_sedgwick_timber_quantities.pdf,objects/small/fmt000016_1991-04-24_arup_andy_sedgwick_timber_quantities_sm.jpg,objects/thumbs/fmt000016_1991-04-24_arup_andy_sedgwick_timber_quantities_th.jpg,,
fmt000017,Mirror drawings,,1991-04-25,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000017_1991-04-25_arup_andy_sedgwick_mirror_drawings.pdf,objects/small/fmt000017_1991-04-25_arup_andy_sedgwick_mirror_drawings_sm.jpg,objects/thumbs/fmt000017_1991-04-25_arup_andy_sedgwick_mirror_drawings_th.jpg,,
fmt000018,Edge beans,,1991-04-25,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000018_1991-04-25_arup_lorraine_lin_andy_sedgwick_edge_beams.pdf,objects/small/fmt000018_1991-04-25_arup_lorraine_lin_andy_sedgwick_edge_beams_sm.jpg,objects/thumbs/fmt000018_1991-04-25_arup_lorraine_lin_andy_sedgwick_edge_beams_th.jpg,,
fmt000019,Redirecting mirror tests,,1991-04-25,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000019_1991-04-25_arup_andy_sedgwick_redirecting_mirror_tests.pdf,objects/small/fmt000019_1991-04-25_arup_andy_sedgwick_redirecting_mirror_tests_sm.jpg,objects/thumbs/fmt000019_1991-04-25_arup_andy_sedgwick_redirecting_mirror_tests_th.jpg,,
fmt000020,Alternative plywood mirrors,,1991-04-25,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000020_1991-04-25_arup_lorraine_lin_andy_sedgwick_alternative_plywood_mirrors.pdf,objects/small/fmt000020_1991-04-25_arup_lorraine_lin_andy_sedgwick_alternative_plywood_mirrors_sm.jpg,objects/thumbs/fmt000020_1991-04-25_arup_lorraine_lin_andy_sedgwick_alternative_plywood_mirrors_th.jpg,,
fmt000021,Frame sketches,,1991-04-26,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000021_1991-04-26_arup_lorraine_lin_frame_sketches.pdf,objects/small/fmt000021_1991-04-26_arup_lorraine_lin_frame_sketches_sm.jpg,objects/thumbs/fmt000021_1991-04-26_arup_lorraine_lin_frame_sketches_th.jpg,,
fmt000022,Plywood shell cutting pattern,,1991-04-26,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000022_1991-04-26_arup_andy_sedgwick_lorraine_lin_plywood_shell_cutting_pattern.pdf,objects/small/fmt000022_1991-04-26_arup_andy_sedgwick_lorraine_lin_plywood_shell_cutting_pattern_sm.jpg,objects/thumbs/fmt000022_1991-04-26_arup_andy_sedgwick_lorraine_lin_plywood_shell_cutting_pattern_th.jpg,,
fmt000023,Beam attachments,,1991-04-29,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000023_1991-04-29_arup_lorraine_lin_beam_attachments.pdf,objects/small/fmt000023_1991-04-29_arup_lorraine_lin_beam_attachments_sm.jpg,objects/thumbs/fmt000023_1991-04-29_arup_lorraine_lin_beam_attachments_th.jpg,,
fmt000024,Mirror design issues,,1991-05-09,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000024_1991-05-09_arup_andy_sedgwick_mirror_design_issues.pdf,objects/small/fmt000024_1991-05-09_arup_andy_sedgwick_mirror_design_issues_sm.jpg,objects/thumbs/fmt000024_1991-05-09_arup_andy_sedgwick_mirror_design_issues_th.jpg,,
fmt000025,Message to Humbert,,1991-05-14,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000025_1991-05-14_arup_andy_sedgwick_message.pdf,objects/small/fmt000025_1991-05-14_arup_andy_sedgwick_message_sm.jpg,objects/thumbs/fmt000025_1991-05-14_arup_andy_sedgwick_message_th.jpg,,
fmt000026,Uranie and Tycho collectors design and construction,,1991-05-16,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000026_1991-05-16_arup_andy_sedgwick_lorraine_lin_uranie_tycho_design_construction.pdf,objects/small/fmt000026_1991-05-16_arup_andy_sedgwick_lorraine_lin_uranie_tycho_design_construction_sm.jpg,objects/thumbs/fmt000026_1991-05-16_arup_andy_sedgwick_lorraine_lin_uranie_tycho_design_construction_th.jpg,,
fmt000027,Tycho and Uranie cutting patterns,,1991-05-16,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000027_1991-05-16_arup_sedgwick_lorraine_lin_tycho_uranie_cutting_patterns.pdf,objects/small/fmt000027_1991-05-16_arup_sedgwick_lorraine_lin_tycho_uranie_cutting_patterns_sm.jpg,objects/thumbs/fmt000027_1991-05-16_arup_sedgwick_lorraine_lin_tycho_uranie_cutting_patterns_th.jpg,,
fmt000028,Kepler design,,1991-05-17,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000028_1991-05-17_arup_andy_sedgwick_lorraine_lin_kepler_design.pdf,objects/small/fmt000028_1991-05-17_arup_andy_sedgwick_lorraine_lin_kepler_design_sm.jpg,objects/thumbs/fmt000028_1991-05-17_arup_andy_sedgwick_lorraine_lin_kepler_design_th.jpg,,
fmt000029,Weber Metaux,,1991-05-22,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000029_1991-05-22_rfr_alexandre_cot_weber_metaux.pdf,objects/small/fmt000029_1991-05-22_rfr_alexandre_cot_weber_metaux_sm.jpg,objects/thumbs/fmt000029_1991-05-22_rfr_alexandre_cot_weber_metaux_th.jpg,,
fmt000030,Tycho and Uranie radial beams,,1991-05-22,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000030_1991-05-22_arup_andy_sedgwick_lorraine_lin_tycho_uranie_radial_beams.pdf,objects/small/fmt000030_1991-05-22_arup_andy_sedgwick_lorraine_lin_tycho_uranie_radial_beams_sm.jpg,objects/thumbs/fmt000030_1991-05-22_arup_andy_sedgwick_lorraine_lin_tycho_uranie_radial_beams_th.jpg,,
fmt000031,Mirror problem,,1991-05-23,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000031_1991-05-23_rfr_alexandre_cot_mirror_problem.pdf,objects/small/fmt000031_1991-05-23_rfr_alexandre_cot_mirror_problem_sm.jpg,objects/thumbs/fmt000031_1991-05-23_rfr_alexandre_cot_mirror_problem_th.jpg,,
fmt000032,Copernic design,,1991-05-24,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000032_1991-05-24_arup_andy_sedgwick_copernic_design.pdf,objects/small/fmt000032_1991-05-24_arup_andy_sedgwick_copernic_design_sm.jpg,objects/thumbs/fmt000032_1991-05-24_arup_andy_sedgwick_copernic_design_th.jpg,,
fmt000033,Andy Sedgwick flights,,1991-05-24,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000033_1991-05-24_arup_andy_sedgwick_flights.pdf,objects/small/fmt000033_1991-05-24_arup_andy_sedgwick_flights_sm.jpg,objects/thumbs/fmt000033_1991-05-24_arup_andy_sedgwick_flights_th.jpg,,
fmt000034,Kepler supports,,1991-05-24,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000034_1991-05-24_arup_andy_sedgwick_kepler_supports.pdf,objects/small/fmt000034_1991-05-24_arup_andy_sedgwick_kepler_supports_sm.jpg,objects/thumbs/fmt000034_1991-05-24_arup_andy_sedgwick_kepler_supports_th.jpg,,
fmt000035,Theatre computer drawing,,1991-06-03,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000035_1991-06-03_arup_lorraine_lin_theatre_computer_drawing.pdf,objects/small/fmt000035_1991-06-03_arup_lorraine_lin_theatre_computer_drawing_sm.jpg,objects/thumbs/fmt000035_1991-06-03_arup_lorraine_lin_theatre_computer_drawing_th.jpg,,
fmt000036,Kepler cutting patterns,,1991-06-04,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000036_1991-06-04_arup_lorraine_lin_kepler_cutting_patterns.pdf,objects/small/fmt000036_1991-06-04_arup_lorraine_lin_kepler_cutting_patterns_sm.jpg,objects/thumbs/fmt000036_1991-06-04_arup_lorraine_lin_kepler_cutting_patterns_th.jpg,,
fmt000037,Radial beams data,,1991-06-05,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000037_1991-06-05_arup_lorraine_lin_radial_beams_data.pdf,objects/small/fmt000037_1991-06-05_arup_lorraine_lin_radial_beams_data_sm.jpg,objects/thumbs/fmt000037_1991-06-05_arup_lorraine_lin_radial_beams_data_th.jpg,,
fmt000038,Pole Sud mirror structure,,1991-06-06,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000038_1991-06-06_pole_sud_mirror_structure.pdf,objects/small/fmt000038_1991-06-06_pole_sud_mirror_structure_sm.jpg,objects/thumbs/fmt000038_1991-06-06_pole_sud_mirror_structure_th.jpg,,
fmt000039,Copernic moonlight collector,,1991-10-06,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000039_1991-10-06_rfr_alexandre_cot_copernic.pdf,objects/small/fmt000039_1991-10-06_rfr_alexandre_cot_copernic_sm.jpg,objects/thumbs/fmt000039_1991-10-06_rfr_alexandre_cot_copernic_th.jpg,,
fmt000040,Archimedes theatre measurements,,1991-06-12,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000040_1991-06-12_arup_lorraine_lin_archimedes_theatre_measurements.pdf,objects/small/fmt000040_1991-06-12_arup_lorraine_lin_archimedes_theatre_measurements_sm.jpg,objects/thumbs/fmt000040_1991-06-12_arup_lorraine_lin_archimedes_theatre_measurements_th.jpg,,
fmt000041,Kepler Alpha cutting patterns,,1991-06-17,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000041_1991-06-17_arup_lorraine_lin_kepler_alpha_cutting_patterns.pdf,objects/small/fmt000041_1991-06-17_arup_lorraine_lin_kepler_alpha_cutting_patterns_sm.jpg,objects/thumbs/fmt000041_1991-06-17_arup_lorraine_lin_kepler_alpha_cutting_patterns_th.jpg,,
fmt000042,TPL plan,,1991,,,,,,Humbert Camerlo archive,,Fax,application/pdf,en,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Humbert Camerlo Estate and Full Moon Theatre Project. For other uses beyond free use, please contact theatredelapleinelune@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,objects/fmt000042_1991_arup_tpl_plan.pdf,objects/small/fmt000042_1991_arup_tpl_plan_sm.jpg,objects/thumbs/fmt000042_1991_arup_tpl_plan_th.jpg,,
